date;user;date_scraped;company_name;series;raised_funds;investors;date
02/05/2019 17:25;techcrunch;2019-05-02T17:25:03;SpaceX;;;;02/05/2019 17:25
02/05/2019 17:25;techcrunch;2019-05-02T17:23:57;Beyond Meat;public;;;02/05/2019 17:25
02/05/2019 17:23;techcrunch;2019-05-02T16:05:19;EMEA;;;;02/05/2019 17:23
02/05/2019 17:01;techcrunch;;;;;;02/05/2019 17:01
02/05/2019 17:01;techcrunch;;;;;;02/05/2019 17:01
02/05/2019 16:30;techcrunch;2019-05-02T16:29:26;Facebook;public;;;02/05/2019 16:30
02/05/2019 16:00;techcrunch;;;;;;02/05/2019 16:00
02/05/2019 15:01;techcrunch;2019-05-02T15:00:50;Uber;public;;set();02/05/2019 15:01
02/05/2019 15:00;techcrunch;2019-05-02T14:58:59;Carnegie Mellon;;;;02/05/2019 15:00
02/05/2019 14:32;techcrunch;2019-05-02T14:32:12;Google;;;;02/05/2019 14:32
02/05/2019 14:31;techcrunch;2019-05-02T14:30:28;Invert Robotics;series o;;set();02/05/2019 14:31
02/05/2019 14:26;techcrunch;2019-05-02T14:13:53;Match;;;;02/05/2019 14:26
02/05/2019 14:25;techcrunch;;;;;;02/05/2019 14:25
02/05/2019 14:00;techcrunch;;;;;;02/05/2019 14:00
02/05/2019 13:01;techcrunch;2019-05-02T13:00:42;Mosaic;public;;{'Blue Apron', 'Munchery'};02/05/2019 13:01
02/05/2019 12:35;techcrunch;2019-05-02T12:33:49;Human Rights Watch;;;;02/05/2019 12:35
02/05/2019 12:06;techcrunch;;;;;;02/05/2019 12:06
02/05/2019 12:02;techcrunch;;;;;;02/05/2019 12:02
02/05/2019 11:59;techcrunch;2019-05-02T11:58:07;Tesla;;;;02/05/2019 11:59
02/05/2019 11:54;techcrunch;2019-05-02T11:53:35;Quantcast;;;;02/05/2019 11:54
02/05/2019 10:32;techcrunch;2019-05-02T10:30:32;Accomplice;;;;02/05/2019 10:32
02/05/2019 09:59;techcrunch;2019-05-02T09:57:55;FreightHub;series b;30000000.0 $;{'Rider Global', 'Maersk Growth', 'A.P. Moller-Maersk'};02/05/2019 09:59
02/05/2019 09:01;techcrunch;2019-05-02T09:00:48;TechCrunch;;;;02/05/2019 09:01
02/05/2019 09:00;techcrunch;2019-05-02T09:00:11;Plum;;;;02/05/2019 09:00
02/05/2019 08:46;techcrunch;2019-05-02T08:45:19;Jumia;public;200000000.0 $;set();02/05/2019 08:46
02/05/2019 08:01;techcrunch;2019-05-02T08:00:53;Disrupt Berlin;;;;02/05/2019 08:01
02/05/2019 05:51;techcrunch;2019-05-02T05:49:46;LG Mobile;;;;02/05/2019 05:51
02/05/2019 04:02;techcrunch;2019-05-02T04:00:58;Acast;public;;{'Johan Billgren'};02/05/2019 04:02
30/04/2019 23:32;techcrunch;;;;;;30/04/2019 23:32
30/04/2019 23:08;techcrunch;;;;;;30/04/2019 23:08
30/04/2019 23:00;techcrunch;2019-04-30T22:58:59;Rappi;;;;30/04/2019 23:00
30/04/2019 22:47;techcrunch;2019-04-30T22:45:45;Wojcicki;public;;;30/04/2019 22:47
30/04/2019 22:00;techcrunch;2019-04-30T22:00:21;Google;public;;;30/04/2019 22:00
30/04/2019 21:51;techcrunch;;;;;;30/04/2019 21:51
30/04/2019 21:30;techcrunch;2019-04-30T21:29:04;Apple;;;;30/04/2019 21:30
30/04/2019 21:15;techcrunch;2019-04-30T21:11:18;SEC;series a;;set();30/04/2019 21:15
30/04/2019 20:54;techcrunch;;;;;;30/04/2019 20:54
30/04/2019 20:47;techcrunch;2019-04-30T20:46:31;Apple;;;;30/04/2019 20:47
30/04/2019 20:42;techcrunch;;;;;;30/04/2019 20:42
30/04/2019 20:22;techcrunch;;;;;;30/04/2019 20:22
30/04/2019 20:08;techcrunch;2019-04-30T20:06:57;Gomila;public;;{'Einstein'};30/04/2019 20:08
30/04/2019 20:04;techcrunch;2019-04-30T19:23:35;Oculus;;;;30/04/2019 20:04
