date;user;edited_data
02/05/2019 19:15;techcrunch;{'series': 'series o', 'investors': {'Frederic', 'Josh'}, 'date_scraped': '2019-05-02T18:17:39', 'company_name': 'Facebook'}
02/05/2019 18:52;techcrunch;{'date_scraped': '2019-05-02T18:50:20', 'company_name': 'Facebook'}
02/05/2019 18:51;techcrunch;
02/05/2019 18:13;techcrunch;
02/05/2019 17:25;techcrunch;{'date_scraped': '2019-05-02T17:25:03', 'company_name': 'SpaceX'}
02/05/2019 17:25;techcrunch;{'series': 'public', 'date_scraped': '2019-05-02T17:23:57', 'company_name': 'Beyond Meat'}
02/05/2019 17:23;techcrunch;{'date_scraped': '2019-05-02T16:05:19', 'company_name': 'EMEA'}
02/05/2019 17:01;techcrunch;
02/05/2019 17:01;techcrunch;
02/05/2019 16:30;techcrunch;{'series': 'public', 'date_scraped': '2019-05-02T16:29:26', 'company_name': 'Facebook'}
02/05/2019 16:00;techcrunch;
02/05/2019 15:01;techcrunch;{'series': 'public', 'investors': set(), 'date_scraped': '2019-05-02T15:00:50', 'company_name': 'Uber'}
02/05/2019 15:00;techcrunch;{'date_scraped': '2019-05-02T14:58:59', 'company_name': 'Carnegie Mellon'}
02/05/2019 14:32;techcrunch;{'date_scraped': '2019-05-02T14:32:12', 'company_name': 'Google'}
02/05/2019 14:31;techcrunch;{'series': 'series o', 'investors': set(), 'date_scraped': '2019-05-02T14:30:28', 'company_name': 'Invert Robotics'}
02/05/2019 14:26;techcrunch;{'date_scraped': '2019-05-02T14:13:53', 'company_name': 'Match'}
02/05/2019 14:25;techcrunch;
02/05/2019 14:00;techcrunch;
02/05/2019 13:01;techcrunch;{'series': 'public', 'investors': {'Blue Apron', 'Munchery'}, 'date_scraped': '2019-05-02T13:00:42', 'company_name': 'Mosaic'}
02/05/2019 12:35;techcrunch;{'date_scraped': '2019-05-02T12:33:49', 'company_name': 'Human Rights Watch'}
02/05/2019 12:06;techcrunch;
02/05/2019 12:02;techcrunch;
02/05/2019 11:59;techcrunch;{'date_scraped': '2019-05-02T11:58:07', 'company_name': 'Tesla'}
02/05/2019 11:54;techcrunch;{'date_scraped': '2019-05-02T11:53:35', 'company_name': 'Quantcast'}
02/05/2019 10:32;techcrunch;{'date_scraped': '2019-05-02T10:30:32', 'company_name': 'Accomplice'}
02/05/2019 09:59;techcrunch;{'series': 'series b', 'raised_funds': '30000000.0 $', 'investors': {'Rider Global', 'Maersk Growth', 'A.P. Moller-Maersk'}, 'date_scraped': '2019-05-02T09:57:55', 'company_name': 'FreightHub'}
02/05/2019 09:01;techcrunch;{'date_scraped': '2019-05-02T09:00:48', 'company_name': 'TechCrunch'}
02/05/2019 09:00;techcrunch;{'date_scraped': '2019-05-02T09:00:11', 'company_name': 'Plum'}
02/05/2019 08:46;techcrunch;{'series': 'public', 'raised_funds': '200000000.0 $', 'investors': set(), 'date_scraped': '2019-05-02T08:45:19', 'company_name': 'Jumia'}
02/05/2019 08:01;techcrunch;{'date_scraped': '2019-05-02T08:00:53', 'company_name': 'Disrupt Berlin'}
02/05/2019 05:51;techcrunch;{'date_scraped': '2019-05-02T05:49:46', 'company_name': 'LG Mobile'}
02/05/2019 04:02;techcrunch;{'series': 'public', 'investors': {'Johan Billgren'}, 'date_scraped': '2019-05-02T04:00:58', 'company_name': 'Acast'}
30/04/2019 23:32;techcrunch;
30/04/2019 23:08;techcrunch;
30/04/2019 23:00;techcrunch;{'date_scraped': '2019-04-30T22:58:59', 'company_name': 'Rappi'}
30/04/2019 22:47;techcrunch;{'series': 'public', 'date_scraped': '2019-04-30T22:45:45', 'company_name': 'Wojcicki'}
30/04/2019 22:00;techcrunch;{'series': 'public', 'date_scraped': '2019-04-30T22:00:21', 'company_name': 'Google'}
30/04/2019 21:51;techcrunch;
30/04/2019 21:30;techcrunch;{'date_scraped': '2019-04-30T21:29:04', 'company_name': 'Apple'}
30/04/2019 21:15;techcrunch;{'series': 'series a', 'investors': set(), 'date_scraped': '2019-04-30T21:11:18', 'company_name': 'SEC'}
30/04/2019 20:54;techcrunch;
30/04/2019 20:47;techcrunch;{'date_scraped': '2019-04-30T20:46:31', 'company_name': 'Apple'}
30/04/2019 20:42;techcrunch;
30/04/2019 20:22;techcrunch;
30/04/2019 20:08;techcrunch;{'series': 'public', 'investors': {'Einstein'}, 'date_scraped': '2019-04-30T20:06:57', 'company_name': 'Gomila'}
30/04/2019 20:04;techcrunch;{'date_scraped': '2019-04-30T19:23:35', 'company_name': 'Oculus'}
30/04/2019 20:03;techcrunch;{'date_scraped': '2019-04-30T17:55:42', 'company_name': 'Kim Kardashian West'}
30/04/2019 19:49;techcrunch;
30/04/2019 19:24;techcrunch;{'date_scraped': '2019-04-30T19:23:01', 'company_name': 'WhatsApp'}
30/04/2019 19:03;techcrunch;
30/04/2019 18:35;techcrunch;
30/04/2019 18:22;techcrunch;{'series': 'public', 'investors': {'ILY Magazine', 'Ramirez'}, 'date_scraped': '2019-04-30T18:21:01', 'company_name': 'Amrit'}
30/04/2019 17:57;techcrunch;{'date_scraped': '2019-04-30T17:55:42', 'company_name': 'Kim Kardashian West'}
30/04/2019 17:56;techcrunch;{'date_scraped': '2019-04-30T17:54:09', 'company_name': 'NSA'}
30/04/2019 17:54;techcrunch;{'date_scraped': '2019-04-30T17:44:21', 'company_name': 'Portal'}
30/04/2019 17:52;techcrunch;
30/04/2019 17:35;techcrunch;{'date_scraped': '2019-04-30T17:32:48', 'company_name': 'Facebook'}
30/04/2019 17:35;techcrunch;{'date_scraped': '2019-04-30T17:31:07', 'company_name': 'Mixer'}
30/04/2019 17:35;techcrunch;{'date_scraped': '2019-04-30T17:30:44', 'company_name': 'Facebook'}
30/04/2019 17:35;techcrunch;{'series': 'public', 'date_scraped': '2019-04-30T17:30:21', 'company_name': 'Instagram'}
